timestamp,symbol,company,open,high,low,close,volume,dividends,stock_splits
1025461800000000000,ACC,ACC Limited,107.789,109.81,107.115,108.968,659631,0.0,0.0
1025461800000000000,AMBUJACEM,Ambuja Cements Limited,17.278,17.66,17.202,17.573,630442,0.0,0.0
1025461800000000000,ADANIENT,Adani Enterprises Limited,-0.01,-0.011,-0.01,-0.01,1080397,0.0,0.0
1025548200000000000,ACC,ACC Limited,108.496,110.046,107.789,108.059,282660,0.0,0.0
1025548200000000000,AMBUJACEM,Ambuja Cements Limited,17.573,17.748,17.409,17.56,1007265,0.0,0.0
1025548200000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,1016147,0.0,0.0
1025634600000000000,ACC,ACC Limited,108.463,109.136,107.014,107.654,500553,0.0,0.0
1025634600000000000,AMBUJACEM,Ambuja Cements Limited,17.434,17.566,17.202,17.303,178065,0.0,0.0
1025634600000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,980394,0.0,0.0
1025721000000000000,AMBUJACEM,Ambuja Cements Limited,17.284,17.409,17.246,17.296,199282,0.0,0.0
1025721000000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,972747,0.0,0.0
1025721000000000000,ACC,ACC Limited,107.216,108.395,106.105,106.442,284181,0.0,0.0
1025807400000000000,ACC,ACC Limited,106.475,107.621,105.835,106.139,252587,0.0,0.0
1025807400000000000,AMBUJACEM,Ambuja Cements Limited,17.246,17.56,17.177,17.309,138577,0.0,0.0
1025807400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,974496,0.0,0.0
1026066600000000000,ACC,ACC Limited,106.206,110.72,106.206,110.181,587271,0.0,0.0
1026066600000000000,AMBUJACEM,Ambuja Cements Limited,17.579,17.748,16.995,17.441,216457,0.0,0.0
1026066600000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.011,1061686,0.0,0.0
1026153000000000000,ACC,ACC Limited,111.023,111.831,108.193,108.429,986722,0.0,0.0
1026153000000000000,AMBUJACEM,Ambuja Cements Limited,17.579,17.748,16.92,17.077,1158427,0.0,0.0
1026153000000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,1024719,0.0,0.0
1026239400000000000,ACC,ACC Limited,108.564,109.069,106.981,107.991,397472,0.0,0.0
1026239400000000000,AMBUJACEM,Ambuja Cements Limited,17.152,17.152,16.763,16.882,384892,0.0,0.0
1026239400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,946638,0.0,0.0
1026325800000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,968220,0.0,0.0
1026325800000000000,ACC,ACC Limited,108.328,109.069,106.105,106.509,332974,0.0,0.0
1026325800000000000,AMBUJACEM,Ambuja Cements Limited,16.869,16.907,16.556,16.631,1189395,0.0,0.0
1026412200000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.011,-0.011,967763,0.0,0.0
1026412200000000000,ACC,ACC Limited,107.924,107.924,106.139,106.408,148772,0.0,0.0
1026412200000000000,AMBUJACEM,Ambuja Cements Limited,16.618,16.907,16.581,16.643,1100752,0.0,0.0
1026671400000000000,AMBUJACEM,Ambuja Cements Limited,16.574,16.656,16.43,16.568,758595,0.0,0.0
1026671400000000000,ADANIENT,Adani Enterprises Limited,-0.011,-0.011,-0.01,-0.01,974157,0.0,0.0
1026671400000000000,ACC,ACC Limited,106.61,106.61,103.814,104.353,268573,0.0,0.0
